Date time,Content,choose_one,class_label
12/7/2021 14:34,"So many billionaires in private jets flew to Sun Valley to hear @BillGates rave about climate that the FAA had to stop temporarily shutdown Western air space to other air traffic.

No #ClimateHypocrisy here. Move on.

https://t.co/oDUafFdXBN https://t.co/YLt1nM3WJd",Not Relevant,0
12/7/2021 14:34,"After nearly 25 years on Astor Place, Kmart shuttered this location yesterday. Rumors of a closure date to early 2018, though the store ended up downsizing from 3 to 2 floors at the time. 
Pics by @Joy_of_photos https://t.co/ZkqCkcMYmj",Not Relevant,0
12/7/2021 14:34,@easydelicate que hace closure&gt; betty ?,Not Relevant,0
12/7/2021 14:33,"The last couple of days showed us the level of hatred, harassment, detention in unknown locations &amp; business closure of Tigrayans by the ""state""throughout .
Tigrayans in Tigray on the other hand are besieged, cutoff from basic needs, infrastructure &amp; the world.
#TigrayGenocide",Not Relevant,0
12/7/2021 14:33,PayPal: PayPal blocked account of animal shelter causing forced closure of shelter. Urgent! Help! - Sign the Petition! https://t.co/WrVBE9UJku via @Change,Not Relevant,0
12/7/2021 14:33,A 5x5 closure will forever have my heart frontals are annoying,Not Relevant,0
12/7/2021 14:33,Idk who needs to hear this but that person who ghosted you will not give you closure.. they literally ghosted you..,Not Relevant,0
12/7/2021 14:33,"We are Protectors day and night! AWP had the pleasure of protecting 100+ people during a complex I-25 closure in Colorado. Several AWP teams worked together to safely protect the crew and public as workers replaced a bridge. A job well done!
. Apply today! https://t.co/RBNKZdK2gx https://t.co/zYokS9c86c",Relevant ,1
12/7/2021 14:32,"After nearly 25 years on Astor Place, Kmart shuttered this location yesterday. Rumors of a closure date to early 2018, though the store ended up downsizing from 3 to 2 floors at the time. 
Pics by @Joy_of_photos https://t.co/ZkqCkcMYmj",Not Relevant,0
12/7/2021 14:32,"Some context to this story: nearly every established R-C1 community in Calgary has lost population in the last 10 years. Nearly every non-R-C1 community has gained population. Single detached zoning leads to population decline. 

 https://t.co/uoiFZO1dw2",Not Relevant,0
12/7/2021 14:32,"@Ferrans53 I feel the series was more for Sam Wilsons journey into becoming Captain America, but I did like Bucky found closure and started a new beginning in this series. If theres gonna be a continuation of the series, its likely the new Falcon and Bucky teaming up",Not Relevant,0
12/7/2021 14:32,"@BillyGilman Ticket is purchased, but border closure prevents me from getting there.",Not Relevant,0
12/7/2021 14:32,"All the show needs is more time to completely tell it's story and give proper closure to the characters and to us

STARPLUS EXTEND SAAKK",Not Relevant,0
12/7/2021 14:32,"I've re-released one of my favourite books! #WomensFiction with a dash of #mystery and a seasoning of #romance. 
Flora sets out to find  missing toddler Charlotte and bring closure to the girl's mother...but at what cost?  

1.99/$2.99 or FREE on KU. 
https://t.co/c6KDxjjWLk https://t.co/DWQzne2U6c",Not Relevant,0
12/7/2021 14:32,"#OrthoTwitter, what is your preferred closure method for #TJA? Check out this systematic review below. @DrLeeRubin @BoneDocMMD @AlexisGaskin32 @JennaBernstein7 @kimtuckinAZ @AAHKS 

https://t.co/zArkbvCFiE https://t.co/MQl9GvcC0H",Not Relevant,0
12/7/2021 14:32,"The chairman of the Democratic Party and a member of the Southern District District, Luo Kin-hee, resigned, and the closure of his councillors office means that the ""civilian human rights front"" has lost one more group member https://t.co/W7sA4Z2Tan",Not Relevant,0
12/7/2021 14:32,"The NSW government gave everyone vouchers to use at small businesses, pretending to care about them, then simultaneously mandated their closure.  More mockery of the slaves. I have to laugh at how funny the tyranny actually is &amp; how much ppl will accept. But its sad.",Not Relevant,0
12/7/2021 14:31,"Businesses in San Franciscos iconic Chinatown are welcoming back tourists after the pandemic forced them to close.
https://t.co/pFz1klxkMg",Not Relevant,0
12/7/2021 14:31,"Defending #cameronharrin for a murder r the same ppl of this society  who celebrated the acquitment of Majeed Achakzai (murderer of traffic sergeant) 
""No sentence can repair tht damage or bring back the lives lost, but we hope this outcome delivers some comfort &amp; closure family",Not Relevant,0
12/7/2021 14:31,"ICYMI: Avalon's mayor ordered the closure of the NJ shore town's boardwalk and beaches due to large crowds and what he called unsafe and disruptive behavior."" https://t.co/sr7NhAsFfA",Not Relevant,0
12/7/2021 14:31,"The Star spoke to Canadians with family and friends in 9 different countries about how theyre feeling watching #Canada gradually get back to normal, while abroad, the pandemic has yet to slow. #covid #border #closure
https://t.co/ur13BjqdnU",Not Relevant,0
12/7/2021 14:31,"When you truly care about someone , you would not intentionally hurt them or lie . You would communicate like an adult and give the other person closure instead of ghosting them up!",Not Relevant,0
12/7/2021 14:31,I got amazing notes on my pilot The Pizza Connection from @Schlegdawg and @Ross_Boyle_ plus other amazing notes on my short Demon Closure by @fringeblog Thanks a lot guys! Youre awesome! https://t.co/lvufRsDKUM,Not Relevant,0
